temperature,vibration_level,power_consumption,pressure,material_flow_rate,cycle_time,machine_type,machine_M001,machine_M002,machine_M003,machine_M004,error_rate,downtime,maintenance_flag,efficiency_score,production_status,timestamp
73.61220201721575,2.0973020630044603,18.06428629392912,5.4312501583179085,20.868592359042005,113.74987172206198,CNC,False,False,True,False,0.8133609826593059,0,0,18.66390173406941,0,2025-03-10 08:04:00
70.50532244303739,1.5927447380474196,21.387094266827344,4.385387723847185,19.002452164544117,123.629105740194,CNC,True,False,False,False,0.7808862445040687,0,0,21.91137554959313,0,2025-03-10 08:07:00
75.77748575959555,1.729798585246256,18.302814781249555,4.886084236193842,17.853328785843118,121.74646386177103,CNC,False,False,True,False,0.7187556669933683,0,0,28.12443330066317,0,2025-03-10 08:08:00
74.95084514983567,1.884517133476976,16.388016537881168,5.429811916091973,21.667447211211577,118.68512542992148,CNC,False,False,True,False,0.7274754148813939,36,0,9.25245851186061,0,2025-03-10 08:19:00
78.41881769009609,2.162272555568297,16.946889733726596,5.090107888806019,22.4057991009018,122.43656581526658,CNC,False,True,False,False,0.7945398857701237,0,0,20.546011422987632,0,2025-03-10 08:20:00
74.88851911390311,2.26285075015737,15.35530513063341,5.242704860082563,21.01907205951786,123.96370088152888,CNC,True,False,False,False,0.8069052723920479,0,0,19.309472760795217,0,2025-03-10 08:21:00
69.7256362269369,1.7994964415459596,18.818129876668117,5.564276928168358,17.67346072702502,131.71428504143705,CNC,False,True,False,False,0.7522723663558009,37,0,6.272763364419916,0,2025-03-10 08:22:00
75.73275049594584,1.3344956719846757,14.745376544105367,5.008489060333703,17.76338011458279,120.62779261236788,CNC,True,False,False,False,0.6103570348429431,0,0,38.96429651570569,0,2025-03-10 08:31:00
76.63250107936331,2.376621082837969,16.542081499933676,5.558704070959396,19.230538634048283,122.29300226938815,CNC,False,True,False,False,0.8415835685234158,0,0,15.84164314765843,0,2025-03-10 08:34:00
76.86607073617971,1.46565247566031,20.021679470040628,5.129912637644046,18.785396798915283,119.09296982641403,CNC,False,True,False,False,0.6961581248613986,0,0,30.38418751386014,0,2025-03-10 08:42:00
